title,doi,doi_link,authors,venue,year,citation_count,abstract_summary,missing_files,source_csv,research_area,pdf_exists,md_exists,analysis_exists
Department of Energy/University research: A smart partnership for a smart grid,10.1109/PSCE.2009.4840103,https://doi.org/10.1109/PSCE.2009.4840103,P. Overholt,IEEE PES Power Systems Conference and Exposition,2009,2,The Department of Energy is partnering with universities to develop advanced analytical tools and applications for smart grid operations.,"PDF, Markdown, Analysis",Elicit - Industry-university partnerships studying human-machine interaction in smart grid operations.csv,3.1.2-industry-academia-collaborative,False,False,False
166 15091 – Smart Buildings and Smart Grids 5 . 9 Human Machine Interaction in Energy Informatics,-,-,"H. Jacobsen, R. Katz, H. Schmeck, C. Goebel",-,2015,0,"The paper discusses human-machine interaction in smart grid operations, which is relevant to the query.","Markdown, Analysis",Elicit - Industry-university partnerships studying human-machine interaction in smart grid operations.csv,3.1.2-industry-academia-collaborative,True,False,False
AAFGDES: A fuzzy expert system realization of Adaptive Autonomy using Gradient Descent,10.1109/PTC.2011.6019402,https://doi.org/10.1109/PTC.2011.6019402,"M. Zamani, A. Fereidunian, M.A.A. Akhoundi, H. Lesani",2011 IEEE Trondheim PowerTech,2011,3,A fuzzy expert system with gradient descent algorithm is used to determine the level of automation in human-automation interaction for smart grid operations.,"PDF, Markdown, Analysis",Elicit - Industry-university partnerships studying human-machine interaction in smart grid operations.csv,3.1.2-industry-academia-collaborative,False,False,False
A New Model for Industry–University Partnerships,10.5942/JAWWA.2015.107.0161,https://doi.org/10.5942/JAWWA.2015.107.0161,"Jonathan Keck, Juneseok Lee",-,2015,22,"This paper describes an industry-university partnership in the water industry, but does not address human-machine interaction in smart grid operations.","Markdown, Analysis",Elicit - Industry-university partnerships studying human-machine interaction in smart grid operations.csv,3.1.2-industry-academia-collaborative,True,False,False
A Survey on Human Machine Interaction in Industry 4.0,-,-,"Christian Krupitzer, Sebastian Müller, Veronika Lesch, Marwin Züfle, Janick Edinger, Alexander Lemken, Dominik Schäfer, Samuel Kounev, C. Becker",arXiv.org,2020,27,"The paper surveys human-machine interaction in Industry 4.0, focusing on new paradigms that integrate augmented and virtual reality.","PDF, Markdown, Analysis",Elicit - Industry-university partnerships studying human-machine interaction in smart grid operations.csv,3.1.2-industry-academia-collaborative,False,False,False
Organizational aspects for successful integration of human-machine interaction in the industry 4.0 era,10.1016/j.procir.2020.05.039,https://doi.org/10.1016/j.procir.2020.05.039,"Eirin Lodgaard, Sebastian Dransfeld",-,2020,18,"The paper discusses organizational aspects for successful integration of human-machine interaction in Industry 4.0, but does not specifically address industry-university partnerships or smart grid operations.","PDF, Markdown, Analysis",Elicit - Industry-university partnerships studying human-machine interaction in smart grid operations.csv,3.1.2-industry-academia-collaborative,False,False,False
Cyber-Physical Security: A Game Theory Model of Humans Interacting Over Control Systems,10.1109/TSG.2013.2270291,https://doi.org/10.1109/TSG.2013.2270291,"S. Backhaus, R. Bent, J. Bono, Ritchie Lee, Brendan D. Tracey, D. Wolpert, Dongping Xie, Y. Yildiz",IEEE Transactions on Smart Grid,2013,76,The paper presents a game theory model to predict the interactions between intruders and system operators in smart grid cyber-physical security.,"PDF, Markdown, Analysis",Elicit - Industry-university partnerships studying human-machine interaction in smart grid operations.csv,3.1.2-industry-academia-collaborative,False,False,False
A Human-Machine Reinforcement Learning Method for Cooperative Energy Management,10.1109/tii.2021.3105115,https://doi.org/10.1109/tii.2021.3105115,"Yuechuan Tao, Jing Qiu, Shuying Lai, Xian Zhang, Yunqi Wang, Guibin Wang",IEEE Transactions on Industrial Informatics,2022,21,A human-machine reinforcement learning framework for cooperative energy management in smart grids.,"Markdown, Analysis",Elicit - Industry-university partnerships studying human-machine interaction in smart grid operations.csv,3.1.2-industry-academia-collaborative,True,False,False
Reflexe: Managing commercial and industrial flexibilities in a market environment,10.1109/PTC.2013.6652315,https://doi.org/10.1109/PTC.2013.6652315,"N. Siebert, G. Foggia, S. Lannez, M. Muscholl, J. Passelergue, S. Letendre, A. Moreau, Y. Bertone",IEEE Grenoble Conference,2013,4,The paper presents a DER aggregation solution that provides decision support tools for commercial and industrial flexibility aggregation to provide energy and ancillary services to the grid.,"PDF, Markdown, Analysis",Elicit - Commercial demonstrations of decision support systems for DER operators.csv,3.1.2-industry-academia-collaborative,False,False,False
Decision Support System for a Low Voltage Renewable Energy System,10.3390/EN10010118,https://doi.org/10.3390/EN10010118,"Iulia Stamatescu, N. Arghira, I. Fagarasan, G. Stamatescu, S. Iliescu, V. Calofir",-,2017,34,The paper presents a decision support system for a low-voltage renewable energy system to achieve energy balance in a microgrid.,"PDF, Markdown, Analysis",Elicit - Commercial demonstrations of decision support systems for DER operators.csv,3.1.2-industry-academia-collaborative,False,False,False
