title,doi,doi_link,authors,venue,year,citation_count,abstract_summary,missing_files,source_csv,research_area,pdf_exists,md_exists,analysis_exists
3DHOP: A Novel Technological Solution for the Development of Online Virtual Museums,-,-,"Marco Potenziani, M. Callieri, Roberto Scopigno",ERCIM News,2014,3,This paper does not contain industry case studies of automated decision support for energy system operators.,"Markdown, Analysis",Elicit - Industry case studies of automated decision support for energy system operators.csv,3.1.3-applied-ai-automation,True,False,False
Context-based decision support for sustainable optimization of energy consumption,-,-,"M. Marques, B. Sučić, T. Vuk",-,2016,3,The paper presents a context-based decision support algorithm for optimizing energy consumption in industry.,"Markdown, Analysis",Elicit - Industry case studies of automated decision support for energy system operators.csv,3.1.3-applied-ai-automation,True,False,False
Decision Support System for a Low Voltage Renewable Energy System,10.3390/EN10010118,https://doi.org/10.3390/EN10010118,"Iulia Stamatescu, N. Arghira, I. Fagarasan, G. Stamatescu, S. Iliescu, V. Calofir",-,2017,34,A decision support system was developed and tested for a low-voltage renewable energy microgrid to achieve energy balance.,"Markdown, Analysis",Elicit - Industry case studies of automated decision support for energy system operators.csv,3.1.3-applied-ai-automation,True,False,False
Supporting Control Room Operators in Highly Automated Future Power Networks,10.1049/OAP-CIRED.2017.1107,https://doi.org/10.1049/OAP-CIRED.2017.1107,"Minjiang Chen, V. Catterson, M. Syed, S. Mcarthur, G. Burt, M. Marinelli, A. Prostejovsky, K. Heussen",-,2017,5,The paper investigates decision support functions for power system operators to handle frequency deviation events in highly automated future power networks.,"PDF, Markdown, Analysis",Elicit - Industry case studies of automated decision support for energy system operators.csv,3.1.3-applied-ai-automation,False,False,False
Enhanced situational awareness and decision support for operators of future distributed power network architectures,10.1109/ISGTEurope.2016.7856198,https://doi.org/10.1109/ISGTEurope.2016.7856198,"A. Zaher, V. Catterson, M. Syed, S. Mcarthur, G. Burt, Minjiang Chen, M. Marinelli, A. Prostejovsky",IEEE PES Innovative Smart Grid Technologies Conference Europe,2016,7,The paper describes a control room decision support system for future power network operators to aid in restoring frequency during incidents.,"PDF, Markdown, Analysis",Elicit - Industry case studies of automated decision support for energy system operators.csv,3.1.3-applied-ai-automation,False,False,False
An Automated Fault Location System as a Decision Support Tool for System Operators,10.1109/CPRE.2008.4515080,https://doi.org/10.1109/CPRE.2008.4515080,"J. Vasco, R. Ramlachan, J. Wong, Lee Wang",2008 61st Annual Conference for Protective Relay Engineers,2008,5,An automated fault location system can provide system operators with accurate fault information to optimize their decision-making process.,"Markdown, Analysis",Elicit - Industry case studies of automated decision support for energy system operators.csv,3.1.3-applied-ai-automation,True,False,False
Automatic decision support with a new visualization concept for power systems,10.1109/PTC.2001.964758,https://doi.org/10.1109/PTC.2001.964758,"E. Handschin, C. Leder",2001 IEEE Porto Power Tech Proceedings (Cat. No.01EX502),2001,7,A new visualization concept provides automated decision support for power system operators by reducing data complexity and suggesting control actions.,"PDF, Markdown, Analysis",Elicit - Industry case studies of automated decision support for energy system operators.csv,3.1.3-applied-ai-automation,False,False,False
Implementing Industry 4.0: An In-Depth Case Study Integrating Digitalisation and Modelling for Decision Support System Applications,10.3390/en17081818,https://doi.org/10.3390/en17081818,"Akshay Ranade, Javier Gómez, Andrew de Juan, William D. Chicaiza, Michael Ahern, J. M. Escaño, A. Hryshchenko, Olan Casey, Aidan Cloonan, D. O’Sullivan, Ken Bruton, Alan Mcgibney",Energies,2024,1,"The paper presents a case study of implementing Industry 4.0 technologies, including data-driven decision support systems, to enhance energy efficiency in a manufacturing process.","Markdown, Analysis",Elicit - Industry case studies of automated decision support for energy system operators.csv,3.1.3-applied-ai-automation,True,False,False
Harnessing machine learning for predictive maintenance in energy infrastructure: A review of challenges and solutions,10.30574/ijsra.2024.12.2.0525,https://doi.org/10.30574/ijsra.2024.12.2.0525,Diptiben Ghelani,International Journal of Science and Research Archive,2024,0,"Machine learning holds promise for predictive maintenance in energy infrastructure, but faces challenges around data quality, model interpretability, and regulatory compliance.","Markdown, Analysis",Elicit - Commercial applications of machine learning for predictive maintenance in distributed energy.csv,3.1.3-applied-ai-automation,True,False,False
Machine Learning for Predictive Maintenance to Enhance Energy Efficiency in Industrial Operations,10.24235/itej.v9i2.125,https://doi.org/10.24235/itej.v9i2.125,"Juan Carlos Cruz, Antonio Miguel Garcia",ITEJ (Information Technology Engineering Journals),2024,0,Machine learning techniques for predictive maintenance can enhance energy efficiency in industrial operations.,"Markdown, Analysis",Elicit - Commercial applications of machine learning for predictive maintenance in distributed energy.csv,3.1.3-applied-ai-automation,True,False,False
