title,authors,doi,year,journal,url,source_file
,"Markdown, Analysis ",10.1016/j.jsr.2020.09.015,,,https://doi.org/10.1016/j.jsr.2020.09.015,sources/4.1.8-elicit-results/phase-2-targeted-queries/analysis_output/_summary_report_targeted_query_developer.md
,"Markdown, Analysis ",10.3390/BUILDINGS11040139,,,https://doi.org/10.3390/BUILDINGS11040139,sources/4.1.8-elicit-results/phase-2-targeted-queries/analysis_output/_summary_report_targeted_query_developer.md
,"Markdown, Analysis ",10.1108/JWL-11-2015-0087,,,https://doi.org/10.1108/JWL-11-2015-0087,sources/4.1.8-elicit-results/phase-2-targeted-queries/analysis_output/_summary_report_targeted_query_developer.md
,"Markdown, Analysis ",10.11113/JT.V74.4518,,,https://doi.org/10.11113/JT.V74.4518,sources/4.1.8-elicit-results/phase-2-targeted-queries/analysis_output/_summary_report_targeted_query_developer.md
,"Markdown, Analysis ",10.1109/ESW.2016.7499711,,,https://doi.org/10.1109/ESW.2016.7499711,sources/4.1.8-elicit-results/phase-2-targeted-queries/analysis_output/_summary_report_targeted_query_developer.md
,"Markdown, Analysis ",10.1016/j.trip.2024.101133,,,https://doi.org/10.1016/j.trip.2024.101133,sources/4.1.8-elicit-results/phase-2-targeted-queries/analysis_output/_summary_report_targeted_query_developer.md
,"Markdown, Analysis ",10.1109/ESW49146.2022.9925043,,,https://doi.org/10.1109/ESW49146.2022.9925043,sources/4.1.8-elicit-results/phase-2-targeted-queries/analysis_output/_summary_report_targeted_query_developer.md
,"Markdown, Analysis ",10.1109/PAPCON.2003.1216908,,,https://doi.org/10.1109/PAPCON.2003.1216908,sources/4.1.8-elicit-results/phase-2-targeted-queries/analysis_output/_summary_report_targeted_query_developer.md
,"Markdown, Analysis ",10.1109/ESW.2018.8727870,,,https://doi.org/10.1109/ESW.2018.8727870,sources/4.1.8-elicit-results/phase-2-targeted-queries/analysis_output/_summary_report_targeted_query_developer.md
,"Markdown, Analysis ",10.1109/MIA.2004.1286571,,,https://doi.org/10.1109/MIA.2004.1286571,sources/4.1.8-elicit-results/phase-2-targeted-queries/analysis_output/_summary_report_targeted_query_developer.md
,"Markdown, Analysis ",10.1109/TDCLLM.2011.6042223,,,https://doi.org/10.1109/TDCLLM.2011.6042223,sources/4.1.8-elicit-results/phase-2-targeted-queries/analysis_output/_summary_report_targeted_query_developer.md
,"Markdown, Analysis ",10.3233/WOR-192861,,,https://doi.org/10.3233/WOR-192861,sources/4.1.8-elicit-results/phase-2-targeted-queries/analysis_output/_summary_report_targeted_query_developer.md
,"Markdown, Analysis ",10.1001/jama.2009.1214,,,https://doi.org/10.1001/jama.2009.1214,sources/4.1.8-elicit-results/phase-2-targeted-queries/analysis_output/_summary_report_targeted_query_developer.md
,"Markdown, Analysis ",10.1136/oemed-2016-103951.448,,,https://doi.org/10.1136/oemed-2016-103951.448,sources/4.1.8-elicit-results/phase-2-targeted-queries/analysis_output/_summary_report_targeted_query_developer.md
,"Markdown, Analysis ",10.1093/occmed/kqae023.0036,,,https://doi.org/10.1093/occmed/kqae023.0036,sources/4.1.8-elicit-results/phase-2-targeted-queries/analysis_output/_summary_report_targeted_query_developer.md
,"Markdown, Analysis ",10.1093/annweh/wxae035.133,,,https://doi.org/10.1093/annweh/wxae035.133,sources/4.1.8-elicit-results/phase-2-targeted-queries/analysis_output/_summary_report_targeted_query_developer.md
,"Markdown, Analysis ",10.1179/oeh.2004.10.4.457,,,https://doi.org/10.1179/oeh.2004.10.4.457,sources/4.1.8-elicit-results/phase-2-targeted-queries/analysis_output/_summary_report_targeted_query_developer.md
,"Markdown, Analysis ",10.1108/13552510610654510,,,https://doi.org/10.1108/13552510610654510,sources/4.1.8-elicit-results/phase-2-targeted-queries/analysis_output/_summary_report_targeted_query_developer.md
,"Markdown, Analysis ",10.1007/978-3-319-04019-6_10,,,https://doi.org/10.1007/978-3-319-04019-6_10,sources/4.1.8-elicit-results/phase-2-targeted-queries/analysis_output/_summary_report_targeted_query_developer.md
,"Markdown, Analysis ",10.1002/qre.2941,,,https://doi.org/10.1002/qre.2941,sources/4.1.8-elicit-results/phase-2-targeted-queries/analysis_output/_summary_report_targeted_query_developer.md
,"Markdown, Analysis ",10.36001/phme.2024.v8i1.4067,,,https://doi.org/10.36001/phme.2024.v8i1.4067,sources/4.1.8-elicit-results/phase-2-targeted-queries/analysis_output/_summary_report_targeted_query_developer.md
#Blockchain4EU: Blockchain for Industrial Transformations,FIGUEIREDO DO NASCIMENTO SUSANA; ROQUE MENDES POLVORA ALEXANDRE; SOUSA LOURENCO JOANA,10.2760/204920,,,,sources/4.1.7-core-dynamic-results/session-11/dynamic_step_0/initial_primary_4_results_20250603_092223.json
166_15091_Smart_Buildings_and_Smart_Grids_5_9_Human_Machine_Interaction_in_Energy_Informatics,,,,,,sources/4.1.8-elicit-results/phase-2-targeted-queries/analysis_output/3.1.2-industry-academia-collaborative/166_15091_Smart_Buildings_and_Smart_Grids_5_9_Human_Machine_Interaction_in_Energy_Informatics_analysis.json
3DHOP-_A_Novel_Technological_Solution_for_the_Development_of_Online_Virtual_Museums,,,,,,sources/4.1.8-elicit-results/phase-2-targeted-queries/analysis_output/3.1.3-applied-ai-automation/3DHOP-_A_Novel_Technological_Solution_for_the_Development_of_Online_Virtual_Museums_analysis.json
A Data-Driven Strategy to Enable Efficient Participation of Diverse Social Classes in Smart Electric Grids,,,,,,sources/4.1.7-core-dynamic-results/session-10/dynamic_step_0/initial_primary_1_results_20250603_091754.json
"A Decision Support Tool for Distributed Solar and Storage Investments: A Case Study in Austin, TX",,10.1115/imece2019-11068,,,,"sources/4.1.8-elicit-results/phase-2-targeted-queries/analysis_output/3.1.2-industry-academia-collaborative/A_Decision_Support_Tool_for_Distributed_Solar_and_Storage_Investments__A_Case_Study_in_Austin,_TX_analysis.json"
A Fortunate Decision That You Can Trust: Digital Twins as Enablers for the Next Generation of Energy Management Systems and Sophisticated Operator Assistance Systems,,10.1109/MPE.2023.3330120,,,https://doi.org/10.1109/MPE.2023.3330120,sources/4.3.1-elicit-results/papers_needing_urls.csv
A Fully Distributed Hierarchical Control Framework for Coordinated Operation of DERs in Active Distribution Power Networks,,10.1109/TPWRS.2018.2870153,,,,sources/4.1.8-elicit-results/phase-2-targeted-queries/analysis_output/3.1.1-applied-human-factors/A_Fully_Distributed_Hierarchical_Control_Framework_for_Coordinated_Operation_of_DERs_in_Active_Distribution_Power_Networks_analysis.json
A Literature Review on Energy Information System Software Development: Research Gaps and Questions in Industrial Manufacturing,,-,,,https://doi.org/-,sources/4.3.1-elicit-results/papers_needing_urls.csv
"A Long-form Research Program in Human Behavior, Ecology, and Culture",,-,,,https://doi.org/-,sources/4.3.1-elicit-results/papers_needing_urls.csv
A Multi-Agent Based Approach for Energy Management in Microgrids,,-,,,https://doi.org/-,sources/4.3.1-elicit-results/papers_needing_urls.csv
A Multi-Agent Energy Trading Competition,"Block, C. (Carsten); Collins, J. (John); Ketter, W. (Wolfgang); Weinhardt, C. (Christof)",10.2139/ssrn.1516263,,,,sources/4.1.7-core-dynamic-results/session-14/dynamic_step_0/initial_primary_4_results_20250603_094309.json
A National Skills Assessment of the U.S. Wind Industry in 2012,,10.2172/1086363,,,,sources/4.1.8-elicit-results/phase-2-targeted-queries/analysis_output/3.1.2-industry-academia-collaborative/A_National_Skills_Assessment_of_the_U.S._Wind_Industry_in_2012_analysis.json
A New Concept of Digital Twin Supporting Optimization and Resilience of Factories of the Future,,10.3390/app10134482,,,https://doi.org/10.3390/app10134482,sources/4.3.1-elicit-results/papers_needing_urls.csv
A Novel Direct Load Control Testbed for Smart Appliances,"Garrido Zafra, Joaquín; Gil-de-Castro, Aurora; Morales-Leal, Tomás; Moreno Moreno, Carlos Diego; Moreno-Muñoz, A.; Palacios García, Emilio",10.3390/en12173336,,,,sources/4.1.7-core-dynamic-results/session-10/dynamic_step_0/initial_primary_1_results_20250603_091754.json
A Review of Interoperability Challenges and Solutions Towards a Digital Twin of the European Electricity Grid,,10.1109/BulEF63204.2024.10794888,,,https://doi.org/10.1109/BulEF63204.2024.10794888,sources/4.3.1-elicit-results/papers_needing_urls.csv
A Review: Challenges and Opportunities for Artificial Intelligence and Robotics in the Offshore Wind Sector,,10.1016/j.egyai.2022.100146,,,https://doi.org/10.1016/j.egyai.2022.100146,sources/4.3.1-elicit-results/papers_needing_urls.csv
A Survey of Digital Twin Techniques in Smart Manufacturing and Management of Energy Applications,,10.1016/j.geits.2022.100014,,,https://doi.org/10.1016/j.geits.2022.100014,sources/4.3.1-elicit-results/papers_needing_urls.csv
A Survey of Protocol-Level Challenges and Solutions for Distributed Energy Resource Cyber-Physical Security,,10.3390/EN11092360,,,https://doi.org/10.3390/EN11092360,sources/4.3.1-elicit-results/papers_needing_urls.csv
A Survey on Human Machine Interaction in Industry 4.0,,,,,,sources/4.1.8-elicit-results/phase-2-targeted-queries/analysis_output/3.1.2-industry-academia-collaborative/A_Survey_on_Human_Machine_Interaction_in_Industry_4.0_analysis.json
